year_x,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Males 18-24 %,Females 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %,year_y
2016,Georgia,GA,Rockdale,HILLARY CLINTON,DEMOCRAT,23255,37869,Rockdale County,Georgia,0.10011104673619158,0.13539928486293207,0.4364786625403967,0.5058753668535669,0.3667000668002672,0.021342685370741483,0.2874040695627684,0.06019854960219672,0.6205116065748398,0.37948839342516016,2016
2016,Georgia,GA,Schley,DONALD TRUMP,REPUBLICAN,1472,1909,Schley County,Georgia,0.06366892160764027,0.17274844720496896,0.7074081351935547,0.26940459815287876,0.47176781002638524,0.01899736147757256,0.2731117824773414,0.04622356495468278,0.5938618925831202,0.4061381074168798,2016
2016,Georgia,GA,Screven,DONALD TRUMP,REPUBLICAN,3305,5715,Screven County,Georgia,0.09522431259044863,0.18461965574680733,0.5597987813518492,0.4166784752727788,0.5510164940544687,0.020713463751438434,0.3514160766347355,0.03123698458975427,0.5372857395299523,0.4627142604700477,2016
2016,Georgia,GA,Seminole,DONALD TRUMP,REPUBLICAN,2345,3588,Seminole County,Georgia,0.06497584541062802,0.22563652326602282,0.6241950321987121,0.3426862925482981,0.5555555555555556,0.012681159420289856,0.2978407779792319,0.03708587440250536,0.4577714691270405,0.5422285308729595,2016
2016,Georgia,GA,Spalding,DONALD TRUMP,REPUBLICAN,15646,25704,Spalding County,Georgia,0.09177826422868916,0.18001335680893693,0.6297690841483611,0.32967221822954096,0.49157720171074454,0.01728201099764336,0.30185198159695464,0.034540741259721154,0.536787958848725,0.46321204115127496,2016
2016,Georgia,GA,Stephens,DONALD TRUMP,REPUBLICAN,7686,9815,Stephens County,Georgia,0.11639425458147598,0.19027468448403861,0.8423233270794246,0.12640712945590996,0.521275438023724,0.01632386549134835,0.2985903959759022,0.058138854769842666,0.5500731350560703,0.4499268649439298,2016
2016,Georgia,GA,Stewart,HILLARY CLINTON,DEMOCRAT,1222,2058,Stewart County,Georgia,0.1649659863945578,0.2191780821917808,0.2916594715938525,0.4750474874805733,0.6856338028169014,0.004507042253521127,0.3204091341579448,0.011893434823977164,0.3065065065065065,0.6934934934934935,2016
2016,Georgia,GA,Sumter,HILLARY CLINTON,DEMOCRAT,5520,10974,Sumter County,Georgia,0.13463500918429824,0.16034451163643026,0.42146765368522693,0.5200836820083682,0.5630877073003933,0.015301760984783724,0.25764395467949713,0.06094469450049149,0.5467472157152837,0.4532527842847162,2016
2016,Georgia,GA,Talbot,HILLARY CLINTON,DEMOCRAT,2002,3246,Talbot County,Georgia,0.0821557673348669,0.2114114114114114,0.4192687902086929,0.5724148752549819,0.5320630267497252,0.010993037742762916,0.38863879957127545,0.026366559485530548,0.5334946036471901,0.4665053963528098,2016
2016,Georgia,GA,Taliaferro,HILLARY CLINTON,DEMOCRAT,545,897,Taliaferro County,Georgia,0.10309278350515463,0.25160599571734477,0.35084033613445376,0.6402310924369747,0.6457219251336899,0.0,0.38970076548364646,0.021572720946416143,0.435912938331318,0.5640870616686819,2016
2016,Georgia,GA,Tattnall,DONALD TRUMP,REPUBLICAN,5096,6903,Tattnall County,Georgia,0.11883605779013769,0.1652562517828278,0.6075613618368962,0.2915676959619953,0.5431067223699202,0.016710976072920623,0.26550233246103083,0.027989532370007966,0.39189912857212406,0.6081008714278759,2016
